Title,Address,Number of Reviews,Hashtag,Phone,Pricing,Cuisine Type,Open Hours
Kashmir A Culinary Paradise,"18 Lacy Road Putney, London SW15 1NL England",249,#326,+44 7477 533888,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",5:30 PM - 10:30 PM
Mosaic,"60 Upper Thames Street The Westin London City, London EC4V 3AD England",56,#465,+44 20-3988 014,$$ - $$$,"[' International', ' Pub', ' Healthy']",6:30 AM - 10:00 PM
Ishtar,"10-12 Crawford Street, London W1U 6AZ England",937,#328,+44 20 7224 2446,$$ - $$$,"[' Mediterranean', ' European', ' Turkish']",12:00 PM - 11:00 PM
KataKata,"132 Brixton Hill, London SW2 1RS England",213,#332,+44 7534 329883,$,"[' African', ' Cafe', ' Healthy']",10:00 AM - 10:00 PM
Delamina EAST,"151-153 Commercial Street, London E1 6BJ England",445,#329,+44 20 7078 0770,$$ - $$$,"[' Mediterranean', ' Healthy', ' Middle Eastern']",12:00 PM - 10:00 PM
Pizza Sophia,"50 Tavistock Place, London WC1H 9RG England",534,#330,+44 20 7833 8556,$,"[' Italian', ' Neapolitan', ' Campania']",12:00 PM - 10:00 PM
Casa Tua Camden,"176 Royal College Street, London NW1 0SP England",403,#333,+44 20 8127 0460,$$ - $$$,"[' Italian', ' Cafe', ' Mediterranean']",9:00 AM - 10:00 PM
Hakata Ramen + Bar,"177 Bermondsey Street, London SE1 3UW England",68,"#4,329",+44 20 7234 0244,$$ - $$$,"[' Japanese', ' Asian', ' Vegan Options']",12:00 PM - 3:00 PM
Dobar,"324A Green Lanes, London N4 1BX England",443,#327,+44 20 7686 3257,$$ - $$$,"[' Cafe', ' European', ' British']",9:00 AM - 3:00 PM
Cafe Phillies,"2A Phillimore Gardens, London W8 7QB England",406,#336,+44 20 7938 1890,$$ - $$$,"[' Cafe', ' European', ' Healthy']",7:00 AM - 7:00 PM
Humble Grape,"1 St. Bride's Passage, London EC4Y 8EJ England",500,#337,+44 20 3620 2202,$$ - $$$,"[' European', ' Contemporary', ' Wine Bar']",12:00 PM - 11:00 PM
The Gate Kitchen Bar Terrace,"152-158 Richmond Hill Richmond Harbour Hotel & Spa, Richmond-upon-Thames TW10 6RP England",292,#8,+442089390390,$$ - $$$,"[' Bar', ' British', ' Vegetarian Friendly']",7:00 AM - 10:00 PM
The Wilmington,"69 Rosebery Avenue Clerkenwell, London EC1R 4RL England",855,#339,+44 20 7837 1384,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 11:00 PM
Barbounia,"68 Regent Street At Hotel Café Royal, London W1B 4DY England",33,"#3,003",+44 20 4571 6745,$$$$,"[' Italian', ' Mediterranean', ' Vegetarian Friendly']",12:00 PM - 10:00 PM
Gaucho Tower Bridge,"Riverside 2 More London Place Southwark, London SE1 2DA England","3,187",#335,12:00 PM - 11:00 PM,$$$$,"[' Argentinean', ' Gluten Free Options']",12:00 PM - 11:00 PM
Leicester Arms,"44 Glasshouse Street, London W1B 5DP England",457,#334,+44 20 7734 7641,$$ - $$$,"[' British', ' Grill', ' Pub']",11:00 AM - 11:00 PM
FIGO Stratford,"17 Endeavour Square, Stratford City E20 1JN England","1,569",#2,+44 20 8075 9899,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",11:00 AM - 11:15 PM
Hithe + Seek,"60 Upper Thames St The Westin London City, Third Floor, London EC4V 3AD England",48,"#1,775",+44 20 3988 0141,$$ - $$$,"[' Bar', ' International', ' Dining bars']",4:00 PM - 12:00 AM
Bravi Ragazzi Pizza,"2A Sunnyhill Road, London SW16 2UH England",526,#342,+44 20 8769 4966,$,"[' Italian', ' Pizza', ' Neapolitan']",12:00 PM - 10:30 PM
All Bar One Covent Garden,"19 Henrietta Street, London WC2E 8QH England","1,268",#352,+44 20 7240 9842,$$ - $$$,"[' Bar', ' British', ' Vegetarian Friendly']",9:00 AM - 10:30 PM
City Spice,"138 Brick Lane, London E1 6RU England",943,#344,+44 20 7247 1012,$$ - $$$,"[' Indian', ' Asian', ' Balti']",12:00 PM - 12:00 AM
Mosob Restaurant,"339 Harrow Road, London W9 3RB England",421,#345,+44 20 7289 9448,$$ - $$$,"[' African', ' Ethiopian', ' Vegetarian Friendly']",1:00 PM - 11:30 PM
Efes Meze,"170 Trafalgar Road, London SE10 9TZ England",514,#346,+44 20 8293 0626,$$ - $$$,"[' Turkish', ' Greek', ' Middle Eastern']",9:00 AM - 10:00 PM
Bella Donna,"87 London Road, Morden SM4 5HP England",232,#1,+44 20 8640 2488,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 2:30 PM
Galvin La Chapelle,"35 Spital Square, London E1 6DY England","4,096",#349,+44 20 7299 0400,$$$$,"[' French', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 2:15 AM
Basta,"Unit 708, Camden Market, London NW1 8AH England",77,#351,+44 7482 646499,$,"[' Fast Food', ' Mediterranean', ' Middle Eastern']",10:30 AM - 9:00 PM
64 Old Compton Street,"64 Old Compton St, London W1D 4UQ England",28,"#4,770",+44 20 7287 2043,$$ - $$$,"[' Italian', ' International', ' Mediterranean']",12:00 PM - 11:00 PM
The Andover Arms,"57 Aldensley Road Hammersmith, London W6 0DL England","1,298",#348,+44 20 8748 2155,$$ - $$$,"[' Bar', ' British', ' Pub']",6:00 AM - 11:00 PM
Sarava Creperie Bar & Cafe,"41-42 Coldharbour Lane Brixton Village Market, London SW9 8PS England",293,#350,+44 20 7274 2211,$$ - $$$,"[' Brazilian', ' Caribbean', ' Fusion']",10:00 AM - 10:00 PM
Dulwich Tandoori,"54 Lordship Lane, London SE22 8HJ England",273,#431,+44 20 8693 3012,$$ - $$$,"[' Indian', ' Asian', ' Balti']",12:30 PM - 2:30 PM
Steakout Stratford,"150 The Grove, London E15 1NS England",123,"#7,020",+44 20 8534 1727,$$ - $$$,"[' Steakhouse', ' Grill', ' Halal']",12:00 PM - 11:00 PM
Lugana Italian Restaurant,"8 Eden Park Avenue Elmers end, Beckenham BR3 3HN England",404,#2,+44 20 8650 3959,$$ - $$$,"[' Italian', ' Mediterranean', ' European']",12:00 PM - 2:30 PM
Steakout Stratford,"150 The Grove, London E15 1NS England",123,"#7,020",+44 20 8534 1727,$$ - $$$,"[' Steakhouse', ' Grill', ' Halal']",12:00 PM - 11:00 PM
The Malt Lounge and Bar,"50 Great Cumberland Place Marble Arch, London W1H 7FD England",74,#358,+44 20 7725 4834,$$$$,"[' Japanese', ' Bar', ' Sushi']",5:00 PM - 12:00 AM
Magenta,"23 Euston Road King's Cross, London NW1 2SD England",133,#360,+44 20 3146 0222,$$ - $$$,"[' Italian', ' European', ' Contemporary']",12:00 PM - 3:00 PM
Portland Restaurant,"113 Great Portland Street, London W1W 6QQ England",472,#359,+44 20 7436 3261,$$$$,"[' European', ' British', ' Vegetarian Friendly']",12:00 PM - 2:45 PM
El Inca Plebeyo,"162 Essex Road, London N1 8LY England",289,#361,+44 20 7704 9393,$$ - $$$,"[' Latin', ' Fusion', ' Healthy']",6:00 PM - 10:00 PM
Constancia,"52 Tanner Street, London SE1 3PH England",539,#363,+44 20 7234 0676,$$ - $$$,"[' Steakhouse', ' Argentinean', ' South American']",5:30 PM - 10:00 PM
Mosaic,"60 Upper Thames Street The Westin London City, London EC4V 3AD England",56,#465,+44 20-3988 014,$$ - $$$,"[' International', ' Pub', ' Healthy']",6:30 AM - 10:00 PM
Iran Restaurant,"27 Shepherd Market Mayfair, London W1J 7PR England","2,919",#362,+44 20 7409 3337,$$ - $$$,"[' Healthy', ' Middle Eastern', ' Persian']",12:00 PM - 12:00 AM
Forty Dean Street,"40 Dean Street, London W1D 4PX England",688,"#1,488",+44 20 7734 1853,$$ - $$$,"[' Italian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 11:00 PM
100 Wardour St,"100 Wardour Street, London W1F 0TN England","2,635",#368,+44 20 7314 4000,$$ - $$$,"[' European', ' British', ' Vegetarian Friendly']",4:00 PM - 3:00 AM
Chez Lindsay,"11 Hill Rise, Richmond-upon-Thames TW10 6UQ England",969,#9,+44 20 8948 7473,$$ - $$$,"[' French', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:00 PM
Maurizio Barca,"102 North End Road, London W14 9EX England",316,#373,+44 20 7460 6231,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",5:00 PM - 10:00 PM
Kibako London,"110 Great Portland Street, London W1W 6PQ England",4,"#9,901",+44 20 7637 4198,Pricing Not Found,Cuisine Type Not Found,12:00 PM - 2:00 PM
Flat Iron Shoreditch,"77 Curtain Road, London EC2A 3BS England",701,#376,+ Add phone number,$$ - $$$,"[' Steakhouse', ' British', ' Gluten Free Options']",12:00 PM - 11:00 PM
Portobello Garden Arcade Caffe,"269B Portobello Road, London W11 1LR England",496,#378,+44 20 7792 8419,$$ - $$$,"[' Italian', ' Mediterranean', ' Romana']",12:00 PM - 10:00 PM
Kazu,"64 Charlotte Street, London W1T 4QD England",67,"#6,353",+44 20 3848 5777,$$ - $$$,"[' Japanese', ' International', ' Sushi']",12:00 PM - 3:00 PM
The Victoria - Paddington,"10A Strathearn Place Paddington, London W2 2NH England","1,229",#372,+44 20 7724 1191,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 10:00 PM
Tarshish,"16-20 High Road, London N22 6BX England","1,155",#401,+44 20 8881 6479,$$ - $$$,"[' Turkish', ' Grill', ' Vegetarian Friendly']",5:00 PM - 12:00 AM
The Avocado Show London Mayfair,"6 Princes Street, London W1B 2LG England",89,"#3,543",+44 7594 561103,$$ - $$$,"[' International', ' European', ' Contemporary']",9:00 AM - 8:00 PM
BEASY Soho,"58 Greek Street Ground Floor, London W1D 3DY England",6,"#10,037",+44 7930 008464,$$ - $$$,"[' American', ' Bar', ' European']",5:00 PM - 11:30 PM
Liz Cafe,"7 Goldhawk Road, London W12 8QQ England",351,#380,+44 7984 660358,$,"[' Cafe', ' British', ' Vegetarian Friendly']",6:30 AM - 8:00 PM
Paladar,"4-5 London Road, London SE1 6JZ England","1,168",#121,+44 20 7186 5555,$$ - $$$,"[' Latin', ' Contemporary', ' Fusion']",12:00 PM - 2:45 PM
Kitty Fisher's,"10 Shepherd Market, London W1J 7QF England",489,#386,+44 20 3302 1661,$$$$,"[' European', ' British', ' Vegetarian Friendly']",12:00 PM - 2:30 PM
La Trompette,"3-7 Devonshire Road, London W4 2EU England","1,160",#388,+44 20 8747 1836,$$$$,"[' French', ' European', ' Vegetarian Friendly']",12:00 PM - 2:00 PM
Tomo Pizzeria & Restaurant,"88 High Street Hornsey, London N8 7NU England",274,#390,+44 20 8348 0099,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",5:00 PM - 11:00 PM
Ciullosteria,"31 Balham High Road, London SW12 9AL England",305,#392,+44 20 8675 3072,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",5:30 PM - 11:00 PM
The Barbary,"16 Neal's Yard, London WC2H 9DP England",679,#383,+ Add phone number,$$ - $$$,"[' Mediterranean', ' Middle Eastern', ' Israeli']",12:00 PM - 9:00 PM
Buen Ayre,"50 Broadway Market E8 4QJ, London E8 4QJ England",481,#391,+44 20 7275 9900,$$ - $$$,"[' Steakhouse', ' Barbecue', ' Argentinean']",6:00 PM - 10:00 PM
Kona,"51 Buckingham Gate, London SW1E 6AF England",507,#16,+44 20 7769 7766,$$$$,"[' British', ' Contemporary', ' Vegetarian Friendly']",12:00 PM - 5:30 PM
The Meat & Wine Co Mayfair,"17C Curzon Street, London W1J 5HU England",101,#369,Improve this listing,$$ - $$$,[' Steakhouse'],12:00 PM - 11:30 PM
Mien Tay,"180 Lavender Hill, London SW11 5TQ England",326,"#4,424",+44 20 7350 0721,$,"[' Vietnamese', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 3:00 PM
Amerigo Vespucci,"25 Cabot Sq Mackenzie Walk, London E14 4QA England",619,#394,+44 20 7513 0288,$$ - $$$,"[' Italian', ' Mediterranean', ' European']",12:00 PM - 3:00 PM
Blacklock Covent Garden,"16A Bedford Street, London WC2E 9HE England",222,#396,12:00 PM - 3:00 PM4:30 PM - 10:30 PM,$$ - $$$,"[' Steakhouse', ' British']",12:00 PM - 3:00 PM
Lorne Restaurant,"76 Wilton Road, London SW1V 1DE England",319,#397,+44 20 3327 0210,$$$$,"[' European', ' British', ' Vegetarian Friendly']",12:00 PM - 2:30 PM
Barbounia,"68 Regent Street At Hotel Café Royal, London W1B 4DY England",33,"#3,003",+44 20 4571 6745,$$$$,"[' Italian', ' Mediterranean', ' Vegetarian Friendly']",12:00 PM - 10:00 PM
The Ivy Cafe Marylebone,"96 Marylebone Lane, London W1U 2QA England","1,370",#402,+44 20 3301 0400,$$ - $$$,"[' European', ' British', ' Vegetarian Friendly']",8:00 AM - 12:00 AM
Zala grill,"Camden Lock Place Unit 39, London NW1 8AL England",291,#405,+44 20 3005 7453,$$ - $$$,"[' Mediterranean', ' Middle Eastern', ' Israeli']",11:30 AM - 10:00 PM
Cacciari's - Earl's Court,"82 Pembroke Road, London W8 6NX England",633,#399,+44 7379 618282,$$ - $$$,"[' Italian', ' Pizza', ' Romagna']",12:00 PM - 11:00 PM
Sheba,"136 Brick Lane, London E1 6RU England",714,"#4,013",+44 20 7247 7824,$$ - $$$,"[' Indian', ' Asian', ' Bangladeshi']",12:00 PM - 11:30 PM
Honest Burgers Warren St,"Warren St 117 Tottenham Court Road, London W1T 5AL England",433,#407,+44 20 3597 6277,$$ - $$$,"[' American', ' Fast Food', ' British']",11:00 AM - 11:00 PM
Bella Italia South Kensington,"60 Old Brompton Road, London SW7 3DY England","1,167",#408,+44 20 3004 0651,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",11:00 AM - 10:00 PM
Salt & Pepper,"5 Bloomsbury Street, London WC1B 3QE England",585,#409,+44 20 7580 8448,$,"[' Cafe', ' British', ' Healthy']",7:00 AM - 5:00 PM
Peter's Cafe,"73 Aldgate High Street Tower, London EC3N 1BD England",251,#410,+44 20 7481 9937,$,"[' Cafe', ' Vegetarian Friendly', ' Vegan Options']",7:00 AM - 3:00 PM
RAI London Tottehnam Court Road,"11-13 Bayley St, London WC1B 3HD England",1,"11-13 Bayley St, London WC1B 3HD England",Phone Not Found,Pricing Not Found,Cuisine Type Not Found,5:00 PM - 9:00 PM
La Roche,"39-40 St Martin's Ln, London WC2N 4ER England",522,"#5,815",+44 20 7240 8076,$$ - $$$,"[' European', ' Vegetarian Friendly', ' Vegan Options']",8:00 AM - 11:00 PM
RAPSA,"100-102 Hoxton St, London N1 6SG England",425,#412,+44 20 7729 1444,$$ - $$$,"[' Filipino', ' Asian', ' Vietnamese']",9:30 AM - 10:00 PM
Chez Bruce,"2 Bellevue Road Wandsworth Common, London SW17 7EG England","1,705",#413,+44 20 8672 0114,$$$$,"[' French', ' European', ' British']",12:00 PM - 2:00 PM
Riverside Cafe Lambeth Pier,"Albert Embankment Lambeth Pier, London SE1 7SG England",254,#414,+44 20 7401 7575,$,"[' Cafe', ' European', ' British']",9:00 AM - 7:00 PM
Las Iguanas Stratford Westfield,"Level 2 The Gallery Westfield, London E20 1ET England","1,719",#411,+44 20 3031 7573,$$ - $$$,"[' Mexican', ' Brazilian', ' Latin']",11:00 AM - 10:00 PM
Market Halls Oxford Street,"9 Holles Street, London W1G 0BD England",42,"#5,821",+442045801290,$$ - $$$,"[' Mexican', ' Filipino', ' Sushi']",11:00 AM - 11:00 PM
Terry's Cafe London,"158 Great Suffolk Street, London SE1 1PE England",591,#415,+44 20 7407 9358,$,"[' Cafe', ' British', ' Vegetarian Friendly']",7:30 AM - 3:00 PM
Supawan Thai Restaurant,"38 Caledonian Road, London N1 9DT England",314,#416,+44 20 7278 2888,$$ - $$$,"[' Asian', ' Thai', ' Vegetarian Friendly']",12:00 PM - 3:00 PM
Kitchen W8,"11-13 Abingdon Road, London W8 6AH England","1,044",#417,+44 20 7937 0120,$$$$,"[' European', ' British', ' Gluten Free Options']",12:15 PM - 2:30 PM
Sheila's Cafe,"24A Craven Terrace Lancester Mews, London W2 3QH England",387,#418,+44 20 7402 8065,$,"[' Cafe', ' British', ' Vegetarian Friendly']",7:00 AM - 4:00 PM
Gunes Restaurant,"328 Hoe Street, London E17 9PX England",114,#419,+44 20 8521 6789,$$ - $$$,"[' Mediterranean', ' Turkish', ' Grill']",11:00 AM - 11:00 PM
Hithe + Seek,"60 Upper Thames St The Westin London City, Third Floor, London EC4V 3AD England",48,"#1,775",+44 20 3988 0141,$$ - $$$,"[' Bar', ' International', ' Dining bars']",4:00 PM - 12:00 AM
The Grill by Tom Booton,"53 Park Lane The Dorchester Hotel, London W1K 1QA England","1,029",#420,+44 20 7629 8888,$$$$,"[' European', ' British', ' Grill']",8:00 AM - 10:30 AM
Bella Italia,"10 Irving Street Charing Cross, London WC2H 7AT England",698,#421,+44 20 3004 4193,$$ - $$$,"[' Italian', ' Pizza', ' Vegetarian Friendly']",11:00 AM - 10:00 PM
Omnino Leadenhall,"78-79 Leadenhall Street, London EC3A 3DH England",533,#423,+44 20 7283 3926,$$ - $$$,"[' Steakhouse', ' Grill', ' Argentinean']",12:00 PM - 10:00 PM
Tajmahal Indian Cuisine ,"339 Gray's Inn Road Kings cross station, London WC1X 8PX England",183,#223,+44 20 7837 6370,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",12:00 PM - 12:00 AM
Flat Iron,"17 Beak Street Soho, London W1F 9RW England","2,742",#441,+ Add phone number,$$ - $$$,"[' Steakhouse', ' British', ' Gluten Free Options']",12:00 PM - 11:00 PM
JW Steakhouse,"86-90 Park Lane JW Marriott Grosvenor House, London W1K 7TN England","1,248",#425,+44 20 7399 8460,$$$$,"[' American', ' Steakhouse', ' British']",6:30 AM - 11:00 AM
Fiore Dell Amore,"192A Brick Lane, London E1 6SA England",33,"#6,858",+44 20 3827 9445,$$ - $$$,"[' Italian', ' Pizza', ' Cafe']",10:00 AM - 10:00 PM
Capeesh,"4 Pan Peninsula Square Canary Wharf, London E14 9HN England",886,#443,+44 20 7538 1111,$$ - $$$,"[' Italian', ' Pizza', ' Vegetarian Friendly']",11:00 AM - 11:00 PM
Honest Burgers Borough,"5-7 Southwark Street, London SE1 1RQ England",448,#429,+44 20 3096 9485,$$ - $$$,"[' American', ' British', ' Vegetarian Friendly']",11:30 AM - 11:00 PM
Brewhouse & Kitchen - Islington (Angel),"Torrens Street, London EC1V 1NQ England",467,#433,+44 20 7837 9421,$$ - $$$,"[' Brew Pub', ' Bar', ' British']",12:00 PM - 11:00 PM
Pane Cunzato - Pizza & more,"49 Museum Street, London WC1A 1LY England",709,#501,+44 20 3581 1747,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 10:00 PM
Flat Iron Covent Garden,"17-18 Henrietta Street, London WC2E 8QH England","3,823",#436,+ Add phone number,$$ - $$$,"[' Steakhouse', ' European', ' British']",12:00 PM - 11:00 PM
Tierra Peru,"164 Essex Road Islington, London N1 8LY England",713,#437,+44 20 7354 5586,$$ - $$$,"[' Peruvian', ' Latin', ' International']",1:00 PM - 10:00 PM
All Bar One Holborn,"58 Kingsway, London WC2B 6DX England",487,#438,+44 20 7269 5171,$$ - $$$,"[' Bar', ' British', ' Vegetarian Friendly']",9:00 AM - 12:00 AM
The Pine,"Winchester House 259-269 Old Marylebone Road, London NW1 5RA England",15,"#6,604",+44 20 3556 9960,$$ - $$$,"[' Lebanese', ' Mediterranean', ' Grill']",11:00 AM - 12:00 AM
Market Halls Oxford Street,"9 Holles Street, London W1G 0BD England",42,"#5,821",+442045801290,$$ - $$$,"[' Mexican', ' Filipino', ' Sushi']",11:00 AM - 11:00 PM
Flat Iron London Bridge,"112-116 Tooley Street, London SE1 2TH England",382,#440,+ Add phone number,$$ - $$$,"[' Steakhouse', ' British', ' Gluten Free Options']",12:00 PM - 11:00 PM
TGI Fridays - Wembley,"1 Wembley Park Boulevard, Wembley HA9 0TG England","1,661",#4,+44 330 460 5575,$$ - $$$,"[' American', ' Bar', ' Vegetarian Friendly']",11:00 AM - 10:30 PM
Grilandia,"19 Westbourne Grove, London W2 4UA England",203,#395,+44 20 7221 2200,$$ - $$$,"[' Lebanese', ' Mediterranean', ' Healthy']",11:00 AM - 11:00 PM
Murano,"20 Queen Street, London W1J 5PP England","1,990",#442,+44 20 7495 1127,$$$$,"[' Italian', ' European', ' Vegetarian Friendly']",12:00 PM - 2:30 PM
RAI London Tottehnam Court Road,"11-13 Bayley St, London WC1B 3HD England",1,"11-13 Bayley St, London WC1B 3HD England",Phone Not Found,Pricing Not Found,Cuisine Type Not Found,5:00 PM - 9:00 PM
Nenno Pizza Restaurant,"14-16 Caledonian Rd, London N1 9DU England",370,#445,+44 20 7833 2790,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 11:00 PM
Crust Bros,"113 Waterloo Road, London SE1 8UL England",686,#439,+44 20 3034 3424,$,"[' Italian', ' Pizza', ' Vegetarian Friendly']",12:00 PM - 11:00 PM
Benihana Covent Garden,"31 Maiden Ln Covent Garden, London WC2E 7JS England",79,"#2,996",+44 20 7494 2525,$$ - $$$,"[' Japanese', ' Steakhouse', ' Asian']",12:00 PM - 3:00 PM
Passyunk Avenue,"80 Cleveland Street, London W1T 6NE England",405,#447,+44 20 3960 2251,$$ - $$$,"[' American', ' Bar', ' Gluten Free Options']",12:00 PM - 11:30 PM
Mumbai Delight,"51A South Lambeth Road Vauxhall, London SW8 1RH England",474,#448,+44 20 7091 0043,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",3:00 PM - 11:00 PM
La Piccola Deli Pasticceria,"270 Kensington High Street, London W8 6ND England",224,#454,+44 20 7371 6003,$,"[' Cafe', ' European', ' Vegetarian Friendly']",7:00 AM - 8:00 PM
Zoilo,"9 Duke Street, London W1U 3AZ England",545,#450,+44 20 7486 9699,$$ - $$$,"[' Argentinean', ' Vegetarian Friendly', ' Gluten Free Options']",5:30 PM - 10:00 PM
Chettinad Restaurant,"16 Percy Street Soho, London W1T 1DT England","3,604",#452,+44 20 3556 1229,$$ - $$$,"[' Indian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 3:00 PM
Barrio Shoreditch,"141-143 Shoreditch High Street, London E1 6JE England","1,099",#449,+44 20 7749 3940,$$ - $$$,"[' Latin', ' Bar', ' Vegetarian Friendly']",4:00 PM - 2:00 AM
Lord Nelson,"243 Union Street Southwark, London SE1 0LR England",505,#456,+44 20 7207 2701,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 11:00 PM
Chimichurris,"132 Southwark Bridge Road, London SE1 0DG England",176,#176,+44 20 7928 7414,$$ - $$$,"[' Steakhouse', ' Barbecue', ' Grill']",5:00 PM - 11:00 PM
Honest Burgers Portobello,"189 Portobello Rd, London W11 2ED England",639,#460,+44 20 8154 2095,$$ - $$$,"[' Fast Food', ' Vegetarian Friendly', ' Vegan Options']",11:30 AM - 10:30 PM
Sushisamba Heron Tower,"110 Bishopsgate Heron Tower, London EC2N 4AY England","6,168",#476,+44 20 3640 7330,$$$$,"[' Japanese', ' Sushi', ' Asian']",12:00 PM - 1:30 AM
Odette's Restaurant,"130 Regents Park Road Primrose Hill, London NW1 8XL England",636,#461,+44 20 7586 8569,$$$$,"[' European', ' British', ' Welsh']",12:00 PM - 2:30 PM
The Petite Coree,"98 West End Lane, London NW6 2LU England",185,#463,+44 20 7624 9209,$$ - $$$,"[' Asian', ' Korean', ' Healthy']",6:00 PM - 9:00 PM
Ramna Indian Cuisine ,"41 Putney High Street, London SW15 1SP England",0,Indian,+44 20 8785 4184,Indian,[],12:00 PM - 11:00 PM
The Bike Shed,"384 Old Street On the corner of Old Street & Shoreditch High Street, London EC1V 9LT England",738,#462,+44 20 7729 8114,$$ - $$$,"[' American', ' Bar', ' European']",12:00 PM - 11:00 PM
Kazu,"64 Charlotte Street, London W1T 4QD England",67,"#6,353",+44 20 3848 5777,$$ - $$$,"[' Japanese', ' International', ' Sushi']",12:00 PM - 3:00 PM
BEASY Soho,"58 Greek Street Ground Floor, London W1D 3DY England",6,"#10,037",+44 7930 008464,$$ - $$$,"[' American', ' Bar', ' European']",5:00 PM - 11:30 PM
Prince Alfred & Formosa Dining Room,"5A Formosa Street, London W9 1EE England",631,#451,+44 20 7286 3287,$$ - $$$,"[' Contemporary', ' Vegetarian Friendly', ' Vegan Options']",11:00 AM - 11:00 PM
Potli-An Indian Market Kitchen,"319-321 King Street Hammersmith, London W6 9NH England",585,#466,+44 20 8741 4328,$$ - $$$,"[' Indian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 2:00 PM
The Empress,"141 Leman Street, London E1 8EY England",863,#467,+44 20 7265 0745,$$ - $$$,"[' Indian', ' Asian', ' Balti']",5:30 PM - 11:00 PM
Blue Harbour Seafood Restaurant,"250 High Street, Bromley BR1 1PG England",415,#3,+44 20 8313 1379,$$ - $$$,"[' Seafood', ' Vegetarian Friendly', ' Gluten Free Options']",5:00 PM - 10:00 PM
The London Cabaret Club,"Bloomsbury Square Victoria House 5, London WC1B 4DA England",331,"#1,877",+44 20 7242 0002,$$ - $$$,"[' International', ' British', ' Grill']",9:00 AM - 6:00 PM
Imad's Syrian Kitchen,"Carnaby Street 2.5, Top Floor, Kingly Court, London W1B 5PW England",155,#472,+44 20 7434 2448,$$ - $$$,"[' Middle Eastern', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:00 PM
Restaurant Story,"199 Tooley Street, London SE1 2JX England",845,#471,+44 20 7183 2117,$$$$,"[' European', ' British', ' Vegetarian Friendly']",12:00 PM - 1:30 PM
Oslo Court,"Charlbert St, London NW8 7EN England",999,#468,+44 20 7722 8795,$$$$,"[' European', ' British', ' Vegetarian Friendly']",12:30 PM - 2:30 PM
Nonna Selena Pizzeria,"18 Woburn Pl, London WC1H 0LN England",528,#469,+44 20 7837 4748,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",11:00 AM - 12:00 AM
Market Halls Oxford Street,"9 Holles Street, London W1G 0BD England",42,"#5,821",+442045801290,$$ - $$$,"[' Mexican', ' Filipino', ' Sushi']",11:00 AM - 11:00 PM
The Britannia,"5 Brewers Lane, Richmond-upon-Thames TW9 1HH England",410,#11,+44 20 8940 9786,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 11:00 PM
Pizzetta Pizza,"22 Bute Street, London SW7 3EX England",274,#477,+44 20 7584 9090,$,"[' Italian', ' Pizza', ' Fast Food']",10:00 AM - 10:00 PM
Clipstone,"Bolsover House 5 Clipstone Street, London W1W 6BB England",276,#481,+44 20 7637 0871,$$ - $$$,"[' European', ' British', ' Vegetarian Friendly']",12:00 PM - 2:30 PM
Chourangi,"3 Old Quebec Street, London W1H 7AF England",115,"#2,362",+44 20 3582 2710,$$ - $$$,"[' Indian', ' Grill', ' Vegetarian Friendly']",12:30 PM - 10:00 PM
Lobby Bar At One Aldwych,"1 Aldwych One Aldwych Hotel, London WC2B 4BZ England",922,#480,+44 20 7300 1070,$$$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",8:00 AM - 11:30 PM
Alexandrie Restaurant,"38C Kensington Church Street, London W8 4BX England",211,#483,+44 20 7937 2244,$$$$,"[' Mediterranean', ' Middle Eastern', ' Egyptian']",6:00 PM - 10:00 PM
Las Iguanas,"Belvedere Road Festival Terrace, Southbank Centre, London SE1 8XX England","2,571",#486,+44 20 8629 6921,$$ - $$$,"[' Mexican', ' Bar', ' Vegetarian Friendly']",11:00 AM - 10:30 PM
Pappa Roma,"6 Glendower Place South Kensington, London SW7 3DP England",685,#487,+44 20 7225 2407,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 10:00 PM
